/* DATA DESCRIPTION:
Citation:	Depoorter, Mathieu A; Bamber, Jonathan L; Griggs, Jennifer; Lenaerts, Jan T M; Ligtenberg, Stefan R M; van den Broeke, Michiel R; Moholdt, Geir (2013): Antarctic grounding line. PANGAEA, https://doi.org/10.1594/PANGAEA.819150, 
	In supplement to: Depoorter, MA et al. (2013): Calving fluxes and basal melt rates of Antarctic ice shelves. Nature, 502, 89-92, https://doi.org/10.1038/nature12567
Further details:	Moholdt, Geir; Fricker, Helen; Padman, Laurie; Paolo, Fernando S (2013): Synthesized grounding line and ice shelf mask for Antarctica. Scripps Institution of Oceanography, UCSD, 25 pp, hdl:10013/epic.42133.d004
Coverage:	MEDIAN LATITUDE: -71.799236 * MEDIAN LONGITUDE: -163.368176 * SOUTH-BOUND LATITUDE: -85.405900 * WEST-BOUND LONGITUDE: 0.013300 * NORTH-BOUND LATITUDE: -63.214500 * EAST-BOUND LONGITUDE: -0.011500
Event(s):	pan-Antarctica * LATITUDE: -90.000000 * LONGITUDE: 0.000000
Parameter(s):	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Line (Line) * PI: Depoorter, Mathieu A (mathieu.depoorter@bristol.ac.uk, http://www.bristol.ac.uk/geography/people/mathieu-a-depoorter/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	103038 data points
*/
Latitude	Longitude	Line
-70.0989	9.3773	1
-70.1007	9.3851	2
-70.1028	9.3932	3
-70.1050	9.3997	4
-70.1073	9.4055	5
-70.1099	9.4106	6
-70.1118	9.4135	7
-70.1139	9.4157	8
-70.1169	9.4178	9
-70.1204	9.4193	10
-70.1249	9.4201	11
-70.1281	9.4199	12
-70.1333	9.4186	13
-70.1366	9.4188	14
-70.1401	9.4204	15
-70.1436	9.4228	16
-70.1456	9.4249	17
-70.1480	9.4283	18
-70.1581	9.4478	19
-70.1608	9.4536	20
-70.1627	9.4581	21
-70.1663	9.4692	22
-70.1823	9.5209	23
-70.1849	9.5281	24
-70.1869	9.5330	25
-70.1944	9.5473	26
-70.1995	9.5555	27
-70.2034	9.5605	28
-70.2082	9.5657	29
-70.2188	9.5753	30
-70.2216	9.5789	31
-70.2246	9.5840	32
-70.2289	9.5923	33
-70.2321	9.6001	34
-70.2404	9.6265	35
-70.2439	9.6371	36
-70.2459	9.6421	37
-70.2494	9.6495	38
-70.2591	9.6676	39
-70.2619	9.6724	40
-70.2649	9.6764	41
-70.2678	9.6787	42
-70.2703	9.6792	43
-70.2855	9.6758	44
-70.2886	9.6759	45
-70.2978	9.6775	46
-70.3026	9.6769	47
-70.3129	9.6721	48
-70.3164	9.6692	49
-70.3183	9.6665	50
-70.3198	9.6637	51
-70.3246	9.6528	52
-70.3265	9.6490	53
-70.3280	9.6468	54
-70.3302	9.6449	55
-70.3329	9.6444	56
-70.3355	9.6455	57
